scientific name,sort v2021
Megapodius cumingii tabon,746.0
Megapodius cumingii gilbertii,747.0
Megapodius cumingii talautensis,748.0
Megapodius cumingii sanghirensis,749.0
Megapodius bernsteinii,750.0
Megapodius tenimberensis,751.0
Megapodius freycinet,
Megapodius freycinet [freycinet Group],752.0
Megapodius freycinet quoyii,753.0
Megapodius freycinet freycinet,754.0
Megapodius freycinet oustaleti,755.0
Megapodius freycinet forsteni/buruensis,757.0
Megapodius freycinet buruensis,759.0
Megapodius freycinet forsteni,758.0
Megapodius geelvinkianus,756.0
Megapodius eremita,760.0
Megapodius layardi,761.0
Megapodius decollatus,762.0
Megapodius reinwardt,763.0
Megapodius reinwardt reinwardt,764.0
Megapodius reinwardt macgillivrayi,765.0
Megapodius reinwardt tumulus,766.0
Megapodius reinwardt yorki,767.0
Megapodius reinwardt castanonotus,768.0
Ortalis vetula,769.0
Ortalis vetula mccalli,770.0
Ortalis vetula vetula,771.0
Ortalis vetula pallidiventris,772.0
Ortalis vetula deschauenseei,773.0
Ortalis cinereiceps,774.0
Ortalis garrula,775.0
Ortalis ruficauda,776.0
Ortalis ruficauda ruficrissa,777.0
Ortalis ruficauda ruficauda,778.0
Ortalis erythroptera,779.0
Ortalis wagleri,780.0
Ortalis poliocephala,781.0
Ortalis canicollis,782.0
Ortalis canicollis canicollis,783.0
Ortalis canicollis pantanalensis,784.0
Ortalis leucogastra,785.0
Ortalis columbiana,786.0
Ortalis guttata,787.0
Ortalis guttata guttata/subaffinis,788.0
Ortalis guttata guttata,789.0
Ortalis guttata subaffinis,790.0
Ortalis guttata remota,791.0
Ortalis araucuan,792.0
Ortalis squamata,793.0
Ortalis motmot,794.0
Ortalis ruficeps,795.0
Ortalis superciliaris,796.0
Penelope argyrotis,798.0
Penelope argyrotis albicauda,799.0
Penelope argyrotis colombiana,800.0
Penelope argyrotis argyrotis,801.0
Penelope barbata,802.0
Penelope ortoni,803.0
Penelope montagnii,804.0
Penelope montagnii montagnii,805.0
Penelope montagnii atrogularis,806.0
Penelope montagnii brooki,807.0
Penelope montagnii plumosa,808.0
Penelope montagnii sclateri,809.0
Penelope marail,810.0
Penelope marail marail,811.0
Penelope marail jacupeba,812.0
Penelope superciliaris,813.0
Penelope superciliaris superciliaris,814.0
Penelope superciliaris jacupemba,815.0
Penelope superciliaris major,816.0
Penelope dabbenei,817.0
Penelope jacquacu,818.0
Penelope jacquacu granti,819.0
Penelope jacquacu [jacquacu Group],820.0
Penelope jacquacu orienticola,821.0
Penelope jacquacu jacquacu,822.0
Penelope jacquacu speciosa,823.0
Penelope purpurascens,825.0
Penelope purpurascens purpurascens,826.0
Penelope purpurascens aequatorialis,827.0
Penelope purpurascens brunnescens,828.0
Penelope perspicax,829.0
Penelope albipennis,830.0
Penelope obscura,831.0
Penelope obscura bronzina,832.0
Penelope obscura obscura,833.0
Penelope bridgesi,834.0
Penelope pileata,835.0
Penelope ochrogaster,836.0
Penelope jacucaca,837.0
Pipile pipile,839.0
Pipile cumanensis,841.0
Pipile grayi,842.0
Pipile cujubi,843.0
Pipile cujubi nattereri,844.0
Pipile cujubi cujubi,845.0
Pipile jacutinga,847.0
Aburria aburri,848.0
Chamaepetes unicolor,849.0
Chamaepetes goudotii,850.0
Chamaepetes goudotii goudotii,851.0
Chamaepetes goudotii sanctaemarthae,852.0
Chamaepetes goudotii fagani,853.0
Chamaepetes goudotii tschudii,854.0
Chamaepetes goudotii rufiventris,855.0
Penelopina nigra,856.0
Oreophasis derbianus,857.0
Nothocrax urumutum,858.0
Mitu tomentosum,859.0
